Designation/Identification,Obstacle Type,Obstacle Position,Elevation AMSL,Height AGL,Obstacle Lighting,Revision Date,Remarks,Southern,Northern,Scotland,Sheet 1,Sheet 2,Sheet 3,Sheet 4,Sheet 5,Sheet 6,Sheet 7,Sheet 8,London Heli,Orkneys Inset,Shetland Inset
UK28273775F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580847.10N
0024858.61W",640 FT,640 FT,Yes,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273776F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580809.96N
0024724.18W",640 FT,640 FT,Unknown,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273777F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580733.42N
0024724.45W",640 FT,640 FT,Yes,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273778F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580656.93N
0024724.70W",640 FT,640 FT,Unknown,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273779F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580620.41N
0024724.94W",640 FT,640 FT,Yes,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273780F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580922.90N
0024723.80W",640 FT,640 FT,Unknown,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273781F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580959.38N
0024723.56W",640 FT,640 FT,Unknown,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273782F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","581035.91N
0024723.32W",640 FT,640 FT,Unknown,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273783F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","581112.37N
0024723.14W",640 FT,640 FT,Unknown,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273784F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","581148.92N
0024722.90W",640 FT,640 FT,Unknown,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273785F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","581225.37N
0024722.65W",640 FT,640 FT,Unknown,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273786F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","581301.87N
0024722.47W",640 FT,640 FT,Unknown,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273787F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","581338.36N
0024722.25W",640 FT,640 FT,Unknown,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273788F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","581414.86N
0024722.00W",640 FT,640 FT,Yes,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273789F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","581224.67N
0024547.89W",640 FT,640 FT,Unknown,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273790F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580731.24N
0024240.74W",640 FT,640 FT,Unknown,11/1/2023,,,,Yes,,Yes,,,,,,,,,
